url,static_inbound_links,static_outbound_internal_links,in_sitemap,in_tools_data,classification
/tools/ai-tools/ai-colorize-photo/,2,5,yes,no,weak
/tools/ai-tools/ai-image-sharpener/,4,5,yes,no,linked
/tools/ai-tools/background-remover/,26,5,yes,no,linked
/tools/ai-tools/convert-image-to-text/,0,4,yes,no,orphan
/tools/ai-tools/enhance-photo-online/,0,4,yes,no,orphan
/tools/ai-tools/enlarge-image-without-losing-quality/,0,4,yes,no,orphan
/tools/ai-tools/image-to-text-extractor/,0,4,yes,no,orphan
/tools/ai-tools/image-to-text-ocr/,2,5,yes,no,weak
/tools/ai-tools/image-upscaler/,25,5,yes,no,linked
/tools/ai-tools/photo-enhancer/,10,5,yes,no,linked
/tools/ai-tools/remove-background-from-image/,0,4,yes,no,orphan
/tools/ai-tools/remove-background-online-free/,0,4,yes,no,orphan
/tools/ai-tools/remove-white-background/,0,4,yes,no,orphan
/tools/ai-tools/upscale-image-online/,0,4,yes,no,orphan
/tools/compression/best-image-compressor/,0,3,yes,no,orphan
/tools/compression/compress-image-50-percent/,0,3,yes,no,orphan
/tools/compression/compress-image-for-amazon/,0,3,yes,no,orphan
/tools/compression/compress-image-for-email/,0,3,yes,no,orphan
/tools/compression/compress-image-for-facebook/,0,3,yes,no,orphan
/tools/compression/compress-image-for-google-docs/,0,3,yes,no,orphan
/tools/compression/compress-image-for-google-photos/,0,3,yes,no,orphan
/tools/compression/compress-image-for-instagram/,0,3,yes,no,orphan
/tools/compression/compress-image-for-linkedin/,0,3,yes,no,orphan
/tools/compression/compress-image-for-outlook/,0,3,yes,no,orphan
/tools/compression/compress-image-for-passport/,0,3,yes,no,orphan
/tools/compression/compress-image-for-powerpoint/,0,3,yes,no,orphan
/tools/compression/compress-image-for-print/,0,3,yes,no,orphan
/tools/compression/compress-image-for-resume/,0,3,yes,no,orphan
/tools/compression/compress-image-for-shopify/,0,3,yes,no,orphan
/tools/compression/compress-image-for-tiktok/,0,3,yes,no,orphan
/tools/compression/compress-image-for-twitter/,0,3,yes,no,orphan
/tools/compression/compress-image-for-website/,0,3,yes,no,orphan
/tools/compression/compress-image-for-whatsapp/,0,3,yes,no,orphan
/tools/compression/compress-image-for-wordpress/,0,3,yes,no,orphan
/tools/compression/compress-image-for-youtube/,0,3,yes,no,orphan
/tools/compression/compress-image-for-zoom/,0,3,yes,no,orphan
/tools/compression/compress-image-high-quality/,0,3,yes,no,orphan
/tools/compression/compress-image-mobile/,0,3,yes,no,orphan
/tools/compression/compress-image-online-free/,0,3,yes,no,orphan
/tools/compression/compress-image-to-100kb/,17,5,yes,no,linked
/tools/compression/compress-image-to-10kb/,7,4,yes,no,linked
/tools/compression/compress-image-to-120kb/,4,4,yes,no,linked
/tools/compression/compress-image-to-150kb/,4,4,yes,no,linked
/tools/compression/compress-image-to-15kb/,4,4,yes,no,linked
/tools/compression/compress-image-to-1mb/,0,4,yes,no,orphan
/tools/compression/compress-image-to-200kb/,13,5,yes,no,linked
/tools/compression/compress-image-to-20kb/,9,5,yes,no,linked
/tools/compression/compress-image-to-250kb/,4,4,yes,no,linked
/tools/compression/compress-image-to-25kb/,4,4,yes,no,linked
/tools/compression/compress-image-to-2mb/,0,4,yes,no,orphan
/tools/compression/compress-image-to-300kb/,4,4,yes,no,linked
/tools/compression/compress-image-to-30kb/,7,4,yes,no,linked
/tools/compression/compress-image-to-400kb/,4,4,yes,no,linked
/tools/compression/compress-image-to-40kb/,4,4,yes,no,linked
/tools/compression/compress-image-to-500kb/,5,4,yes,no,linked
/tools/compression/compress-image-to-50kb/,17,5,yes,no,linked
/tools/compression/compress-image-to-5mb/,0,3,yes,no,orphan
/tools/compression/compress-image-to-60kb/,4,4,yes,no,linked
/tools/compression/compress-image-to-70kb/,4,4,yes,no,linked
/tools/compression/compress-image-to-80kb/,4,4,yes,no,linked
/tools/compression/compress-image-without-losing-quality/,0,3,yes,no,orphan
/tools/compression/compress-image/,465,5,yes,no,linked
/tools/compression/compress-jpeg-to-100kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-10kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-120kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-150kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-15kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-180kb/,0,4,yes,no,orphan
/tools/compression/compress-jpeg-to-200kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-20kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-250kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-25kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-300kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-30kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-35kb/,0,4,yes,no,orphan
/tools/compression/compress-jpeg-to-400kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-40kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-45kb/,0,4,yes,no,orphan
/tools/compression/compress-jpeg-to-500kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-50kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-5kb/,0,4,yes,no,orphan
/tools/compression/compress-jpeg-to-60kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-70kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-80kb/,0,5,yes,no,orphan
/tools/compression/compress-jpeg-to-90kb/,0,4,yes,no,orphan
/tools/compression/compress-jpg-online/,0,3,yes,no,orphan
/tools/compression/compress-jpg-to-100kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-10kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-120kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-150kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-15kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-180kb/,1,4,yes,no,weak
/tools/compression/compress-jpg-to-200kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-20kb/,2,3,yes,no,weak
/tools/compression/compress-jpg-to-250kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-25kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-300kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-30kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-35kb/,1,4,yes,no,weak
/tools/compression/compress-jpg-to-400kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-40kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-45kb/,1,4,yes,no,weak
/tools/compression/compress-jpg-to-500kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-50kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-5kb/,1,4,yes,no,weak
/tools/compression/compress-jpg-to-60kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-70kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-80kb/,1,3,yes,no,weak
/tools/compression/compress-jpg-to-90kb/,1,4,yes,no,weak
/tools/compression/compress-large-image/,0,3,yes,no,orphan
/tools/compression/compress-photo-for-passport/,0,3,yes,no,orphan
/tools/compression/compress-png-to-100kb/,0,3,yes,no,orphan
/tools/compression/compress-png-to-10kb/,0,3,yes,no,orphan
/tools/compression/compress-png-to-120kb/,0,3,yes,no,orphan
/tools/compression/compress-png-to-150kb/,0,3,yes,no,orphan
/tools/compression/compress-png-to-15kb/,0,3,yes,no,orphan
/tools/compression/compress-png-to-180kb/,0,4,yes,no,orphan
/tools/compression/compress-png-to-200kb/,0,3,yes,no,orphan
/tools/compression/compress-png-to-20kb/,1,3,yes,no,weak
/tools/compression/compress-png-to-250kb/,0,3,yes,no,orphan
/tools/compression/compress-png-to-25kb/,0,3,yes,no,orphan
/tools/compression/compress-png-to-300kb/,0,3,yes,no,orphan
/tools/compression/compress-png-to-30kb/,0,3,yes,no,orphan
/tools/compression/compress-png-to-35kb/,0,4,yes,no,orphan
/tools/compression/compress-png-to-400kb/,0,3,yes,no,orphan
/tools/compression/compress-png-to-40kb/,0,3,yes,no,orphan
/tools/compression/compress-png-to-45kb/,0,4,yes,no,orphan
